# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationMaxMs,1714403406396000000,1714403466418000000,0.0
IndexesFlusher.totalFlushesRetried,1714403406396000000,1714403466418000000,0
IndexesFlusher.totalFlushingTimeUs,1714403406396000000,1714403466418000000,34727
IndexesFlusher.totalContentionQuotaSpent,1714403406396000000,1714403466418000000,0
Indexes.stubs.lookupDurationMaxMs,1714403406396000000,1714403466418000000,0.0
Indexes.stubs.lookupDuration90PMs,1714403406396000000,1714403466418000000,0.0
Indexes.stubs.lookups,1714403406396000000,1714403466418000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1714403406396000000,1714403466418000000,0.0
Indexes.stubs.lookupDurationAvgMs,1714403406396000000,1714403466418000000,0.0
Indexes.entries.lookupDuration90PMs,1714403406396000000,1714403466418000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1714403406396000000,1714403466418000000,0.0
IndexesFlusher.totalFlushes,1714403406396000000,1714403466418000000,59
Indexes.entries.lookupDurationAvgMs,1714403406396000000,1714403466418000000,0.0
Indexes.allKeys.lookupDuration90PMs,1714403406396000000,1714403466418000000,0.0
Indexes.entries.lookups,1714403406396000000,1714403466418000000,0.0
Indexes.allKeys.lookups,1714403406396000000,1714403466418000000,0.0
compiler.ArtifactManagerBridge.getArtifacts.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactManagerBridge.commit.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1714403406396000000,1714403466418000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1714403406396000000,1714403466418000000,0
cacheStateStorage.set.counter,1714403406396000000,1714403466418000000,15
cacheStateStorage.set.duration,1714403406396000000,1714403466418000000,27
cacheStateStorage.get.duration,1714403406396000000,1714403466418000000,527
cacheStateStorage.get.counter,1714403406396000000,1714403466418000000,57
lexer.textmate.size.bytes,1714403406396000000,1714403466418000000,204
parser.XML.size.bytes,1714403406396000000,1714403466418000000,1037
parser.JAVA.time.ns,1714403406396000000,1714403466418000000,49598137
lexer.textmate.time.ns,1714403406396000000,1714403466418000000,14137
parser.XML.time.ns,1714403406396000000,1714403466418000000,7682033
writeAction.max.wait.ms,1714403406396000000,1714403466418000000,80
writeAction.count,1714403406396000000,1714403466418000000,38
parser.TOML.time.ns,1714403406396000000,1714403466418000000,28935891
parser.JAVA.size.bytes,1714403406396000000,1714403466418000000,80000
lexer.TOML.size.bytes,1714403406396000000,1714403466418000000,1696
parser.textmate.size.bytes,1714403406396000000,1714403466418000000,204
lexer.XML.time.ns,1714403406396000000,1714403466418000000,839670
writeAction.wait.ms,1714403406396000000,1714403466418000000,131
parser.TOML.size.bytes,1714403406396000000,1714403466418000000,1696
lexer.TOML.time.ns,1714403406396000000,1714403466418000000,25955464
writeAction.median.wait.ms,1714403406396000000,1714403466418000000,100
lexer.JAVA.time.ns,1714403406396000000,1714403466418000000,5450626
lexer.JAVA.size.bytes,1714403406396000000,1714403466418000000,80000
lexer.XML.size.bytes,1714403406396000000,1714403466418000000,1037
parser.textmate.time.ns,1714403406396000000,1714403466418000000,113965
workspaceModel.moduleManagerBridge.create.module.instance.ms,1714403406396000000,1714403466418000000,0
workspaceModel.moduleBridge.update.option.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1714403406396000000,1714403466418000000,0
jps.global.handle.changed.events.ms,1714403406396000000,1714403466418000000,0
workspaceModel.do.save.caches.ms,1714403406396000000,1714403466418000000,180
workspaceModel.moduleBridgeLoader.loading.modules.ms,1714403406396000000,1714403466418000000,886
workspaceModel.global.updates.ms,1714403406396000000,1714403466418000000,6
workspaceModel.moduleManagerBridge.build.module.graph.ms,1714403406396000000,1714403466418000000,2
workspaceModel.moduleBridge.before.changed.ms,1714403406396000000,1714403466418000000,0
jps.artifact.entities.serializer.load.entities.ms,1714403406396000000,1714403466418000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1714403406396000000,1714403466418000000,0
workspaceModel.save.cache.to.file.ms,1714403406396000000,1714403466418000000,167
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1714403406396000000,1714403466418000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1714403406396000000,1714403466418000000,77
workspaceModel.mutableEntityStorage.collect.changes.ms,1714403406396000000,1714403466418000000,1
jps.global.initialize.library.bridges.ms,1714403406396000000,1714403466418000000,19
jps.library.entities.serializer.save.entities.ms,1714403406396000000,1714403466418000000,0
jps.global.initialize.library.bridges.after.loading.ms,1714403406396000000,1714403466418000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1714403406396000000,1714403466418000000,0
jps.global.get.library.ms,1714403406396000000,1714403466418000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1714403406396000000,1714403466418000000,137
jps.facet.change.listener.before.change.events.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1714403406396000000,1714403466418000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1714403406396000000,1714403466418000000,0
workspaceModel.load.cache.from.file.ms,1714403406396000000,1714403466418000000,338
jps.global.handle.before.change.events.ms,1714403406396000000,1714403466418000000,0
jps.load.project.to.empty.storage.ms,1714403406396000000,1714403466418000000,158
jps.module.iml.entities.serializer.load.entities.ms,1714403406396000000,1714403466418000000,427
workspaceModel.orphan.listener.update.ms,1714403406396000000,1714403466418000000,4
jps.storage.jps.conf.reader.load.component.ms,1714403406396000000,1714403466418000000,32
jps.facet.change.listener.process.change.events.ms,1714403406396000000,1714403466418000000,0
